date,kospi,usdkrw,sp500,vix,kospi_vol_20d,kospi_vol_60d,usdkrw_vol_20d,usdkrw_vol_60d,bis_ratio
2005-01-01,932.7000122070312,1025.4100341796875,1181.27001953125,12.819999694824219,0.16047355327200086,,0.20300792941141563,0.18001821697877737,
2005-02-01,1011.3599853515625,1003.7999877929688,1203.5999755859375,12.079999923706055,0.1557713610940025,,0.10157255383920201,0.15672760687299783,
2005-03-01,965.6799926757812,1017.0,1180.5899658203125,14.020000457763672,0.1855068750214428,,0.09978794618485635,0.14242032458413062,
2005-04-01,911.2999877929688,996.6599731445312,1156.8499755859375,15.3100004196167,0.19915586549913594,,0.07410809506373385,0.09092200972478334,
2005-05-01,970.2100219726562,1007.0,1191.5,13.289999961853027,0.17217474292174037,,0.07920771391720675,0.08271921909543255,
2005-06-01,1008.1599731445312,1033.800048828125,1191.3299560546875,12.039999961853027,0.12981019354799486,,0.07463511248503711,0.07730282242618815,
2005-07-01,1111.2900390625,1023.0,1234.1800537109375,11.569999694824219,0.11639035878670742,,0.0946976780117971,0.08328401296486229,
2005-08-01,1083.3299560546875,1039.5,1220.3299560546875,12.600000381469727,0.11466605027091334,,0.09897008168867406,0.09168590918815166,
2005-09-01,1221.010009765625,1032.0999755859375,1228.81005859375,11.920000076293945,0.19232883934956968,,0.12154834199412233,0.1064343027358681,
2005-10-01,1158.1099853515625,1044.0999755859375,1207.010009765625,15.319999694824219,,,0.25089723829192834,,
2005-11-01,1297.43994140625,1019.0999755859375,1249.47998046875,12.0600004196167,0.2059744881591139,,0.3088788772484843,,
2005-12-01,1379.3699951171875,999.4500122070312,1248.2900390625,12.069999694824219,0.14155572656397383,0.18412999025514268,0.10908177414419491,0.22550554311830573,
2006-01-01,1399.8299560546875,948.0800170898438,1280.0799560546875,12.949999809265137,,,0.18239911176513665,0.20247523289139727,
2006-02-01,1371.5899658203125,952.760009765625,1280.6600341796875,12.34000015258789,0.1952729608926745,,0.10955684543878971,0.14149927146089825,
2006-03-01,1359.5999755859375,964.0900268554688,1294.8699951171875,11.390000343322754,0.16450518487759874,,0.14304178069378706,0.15566519251112265,
2006-04-01,1419.72998046875,922.469970703125,1310.6099853515625,11.59000015258789,0.1366517671102105,,0.16340137581484812,0.14554917899288572,
2006-05-01,1317.699951171875,937.1799926757812,1270.0899658203125,16.440000534057617,,,0.1192278487709446,0.15216971307000343,
2006-06-01,1295.1500244140625,936.4600219726562,1270.199951171875,13.079999923706055,,,0.12852207392369827,0.13225972801563865,
2006-07-01,1297.8199462890625,941.9500122070312,1276.6600341796875,14.949999809265137,0.23375773812074316,,0.1431657148749002,0.1314537682139951,
2006-08-01,1352.739990234375,950.1500244140625,1303.8199462890625,12.3100004196167,,,0.19779948548659881,0.1610037804492183,
2006-09-01,1371.4100341796875,936.3800048828125,1335.8499755859375,11.979999542236328,0.12673557839263258,,0.22324308396388448,0.19587185331422424,
2006-10-01,1364.550048828125,925.1500244140625,1377.93994140625,11.100000381469727,0.13090655539462934,,0.25316754810106823,0.22779135526700986,
2006-11-01,1432.2099609375,919.8099975585938,1400.6300048828125,10.90999984741211,0.09052322263313259,,0.07086825993541035,0.1930358830542558,
2006-12-01,1434.4599609375,916.9400024414062,1418.300048828125,11.5600004196167,0.11589393512659599,,0.12295452881252954,0.16380037748716134,
2007-01-01,1360.22998046875,924.0399780273438,1438.239990234375,10.420000076293945,0.1445083494681651,,0.1808254214945549,0.14938387905129902,
